Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins)(Editable),Languages(Editable),Product Types(Editable),Project Types(Editable),Ecosystems(Editable),Program Types(Editable),Last Updated(Editable),Hash
InsureDAO,Hats finance,540,675,,"","","","","",,b99e89540be6f05997064e2ea0b5b118998267555dc7ab1bc96bc11ef5175fcd
HOPR,Hats finance,68726,91634,,"","","","","",,6f37b85e3d8f9c57a7b337a157546dd541f87daaeddae884939389c49de17d33
Holyheld,Hats finance,8674,10842,,"","","","","",,b00414c0d67c7136641ee7c80f4d9ecb8d4490c7e9c2535c96aae429a759c7e8
Paraswap,Hats finance,21549,26936,,"","","","","",,972a1e3f80c48686de57f6d40dc54e68364b362e2035981dc471c4cbd03d6329
Inverse Finance,Hats finance,16236,20295,,"","","","","",,b6c01d0300958cf8f339e5b8405461860d76eaeeb7bcf7f242a7e51529c5150a
Paladin,Hats finance,23474,29343,,"","","","","",,d0fc391f6d0f28dcd2621c6c748bd9e2869ff7451118c715cba33dacf7d5cd02
Liquity,Hats finance,10037,10139,,"","","","","",,162cdd88f9a934230274834d4151c9545d93c699c452de8154e57e7df0d25324
ICHI,Hats finance,15750,19688,,"","","","","",,aaaa5ccb1d024f0f0ada4ba4c1f3a27e18a04dc54c515913d3b8ba20f12671df
ARTH Loans,Hats finance,2567,3209,,"","","","","",,13adf34fe68e433a6ca53206db594d6df84336265ec02f368dcae7b6a16e4b6e
DXdao,Hats finance,0,0,,"","","","","",,caa1ef552c9063db4f6a1465e99b67f051945fbfce94df2abc76b17d80e5a9d3
B.protocol,Hats finance,18734,23417,,"","","","","",,55c1e58b477ea784170c209b0ec25e71664be81534d174481710ba761310d592
Swapr,Hats finance,20066,22296,,"","","","","",,dfc46b6b29eac35a27318145e845a5a798e2cdf5a7a1dd5f40af76a29655ae25
ChickenBonds,Hats finance,45639,50710,,"","","","","",,e806f684403a4a497ad91d4d40bcdde21c17be4b5c768e7ebf5c3c1da0a14cb6
UMA,Hats finance,0,0,,"","","","","",,2384a08c641e1d688f5671fb2fdac533eed506246d3892b0c0122a5420b2dff7
tempus.finance,Hats finance,1151,1439,,"","","","","",,088da22a8820e37965e341ef8b089b4d6a5c65b4b677272d9b3e6058e70fe2b4
Quidli,Hats finance,8792,10990,,"","","","","",,e9a37afe15c0399a8231a7247b24edb7ac34b5b9bf273630109982cc4fdaf751
Hats.finance (USDC),Hats finance,120384,150480,,"","","","","",,39d331833aea58a7b5faec3e18583f42e2438ec2938e103bba9194cb67cc3110
Giveth,Hats finance,2744,3049,,"","","","","",,3795b4efa3afdee3200604a3ec54a26964fd40682d12991095de0d7aa4aa87cf
FujiDAO,Hats finance,16434,20543,,"","","","","",,020999219c88ff4a06d08dc143f9e354d14b5ed724851ae1484420c411d606ee
Spiral DAO,Hats finance,0,0,,"","","","","",,4b0d2a69ab0f96f73c82e6ade98311818974aa6bc919584435124cfe56fb2995
GoodDollar,Hats finance,0,0,,"","","","","",,ca938d4d8908b0794c46283ff8ab4b69506eb709d49c0e864e9f6d042d619077
DeFiner,Hats finance,8,10,,"","","","","",,adf0c43207587562c155b9fc31fd4dc6e1a8933171216c7d2d64003ecccd1afd
GTON,Hats finance,1172,1465,,"","","","","",,965b38b6fae86d6bbc10207ed553f0194bc24557f31ee109e2040d88dab49c57
Liquity,Hats finance,223777,248641,,"","","","","",,f82c5e4eda46ba44c7d93aa545aac414205d43999dba22b3124d431e7c397679
Idle.finance,Hats finance,18368,22960,,"","","","","",,887017c135a6ee2c02c8c5957799b62d6d6f9bc3e35c28da87d729b4050d7825
kleros,Hats finance,26761,26764,,"","","","","",,95a5b0aea39dda75009ea98f6acf55f18fc9b769b8d8c9fd038059cc85e34569
TempleDAO,Hats finance,373631,467038,,"","","","","",,292a7011d4de26ca485ff7e5a3adf6cfb104751e0a49180993f15484a4599049
Raft finance,Hats finance,66517,73908,,"","","","","",,6206a769951b3ddb93cc936e5d112972dcc6ecc319ac0b12c0332bb298d83793
0vix,Hats finance,0,0,,"","","","","",,bb94b71b249fb722d5cff61ec0cb731a3cc39cc0e6680eb359a3fac46b373e7b
Vaultka ,Hats finance,1230,1367,,"","","","","",,48b7137c37d35b64889928b82194cb2237d56891fa0a3251733637cf88c1f614
Premia Bug Bounty,Hats finance,25641,28490,,"","","","","",,9243181adf37c9f4692a0adea3db9598ea47e79940f492af5050244ca60f671c
CVI,Hats finance,11012,13766,,"","","","","",,f15bf7ee07e7bedcc42f0a4f2c33430eb117ef8cad757f7d2219c3a9f3455a84
Angle,Hats finance,23624,29530,,"","","","","",,a7ccc88620b0ed0074bbf1870a50d32a6a03abc0dca96afeb37fbe59b343ff3d
Jelly,Hats finance,1834,2292,,"","","","","",,f55c29858c86d2b61b07781e8ab735813a7729b41578a3a8ee411d4bf897482a
